show_id|titre|description|langue|popularite|note|type|directeurs|acteurs|pays|date_ajout|annee_sortie|classement|duree|categories
s1|3%|In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.|pt|64.066|7.4|TV Show||João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi|Brazil|August 14, 2020|2020|TV-MA|4 Seasons|International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
s2|7:19|After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.|es|19.156|6.0|Movie|Jorge Michel Grau|Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato|Mexico|December 23, 2016|2016|TV-MA|93 min|Dramas, International Movies
s3|23:59|When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.|zh|2.912|4.5|Movie|Gilbert Chan|Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim|Singapore|December 20, 2018|2011|R|78 min|Horror Movies, International Movies
s4|9|In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.|en|40.29|6.8|Movie|Shane Acker|Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane|United States|November 16, 2017|2009|PG-13|80 min|Action & Adventure, Independent Movies, Sci-Fi & Fantasy
s5|21|A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.|en|29.445|6.7|Movie|Robert Luketic|Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin|United States|January 1, 2020|2008|PG-13|123 min|Dramas
s6|46|A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.|tr|1.888|7.9|TV Show|Serdar Akar|Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu|Turkey|July 1, 2017|2016|TV-MA|1 Season|International TV Shows, TV Dramas, TV Mysteries
s7|122|After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.|ar|1.111|5.9|Movie|Yasir Al Yasiri|Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad|Egypt|June 1, 2020|2019|TV-MA|95 min|Horror Movies, International Movies
s8|187|After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.|en|12.76|6.6|Movie|Kevin Reynolds|Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana|United States|November 1, 2019|1997|R|119 min|Dramas
s9|706|When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.|hi|1.213|5.1|Movie|Shravan Kumar|Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak|India|April 1, 2019|2019|TV-14|118 min|Horror Movies, International Movies
s10|1920|An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.|hi|1.289|5.6|Movie|Vikram Bhatt|Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas|India|December 15, 2017|2008|TV-MA|143 min|Horror Movies, International Movies, Thrillers
s11|1922|A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.|en|15.506|5.9|Movie|Zak Hilditch|Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough|United States|October 20, 2017|2017|TV-MA|103 min|Dramas, Thrillers
s12|1983|In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.|pl|6.81|6.5|TV Show||Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach|Poland, United States|November 30, 2018|2018|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
s13|1994|Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.|ko|7.234|8.0|TV Show|Diego Enrique Osorno||Mexico|May 17, 2019|2019|TV-MA|1 Season|Crime TV Shows, Docuseries, International TV Shows
s14|2215|This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.|th|0.6|7.3|Movie|Nottapon Boonprakob|Artiwara Kongmalai|Thailand|March 1, 2019|2018|TV-MA|89 min|Documentaries, International Movies, Sports Movies
s15|3022|Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.|en|6.514|5.6|Movie|John Suits|Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman|United States|March 19, 2020|2019|R|91 min|Independent Movies, Sci-Fi & Fantasy, Thrillers
s20|'89|Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.|en|2.407|6.3|Movie||Lee Dixon, Ian Wright, Paul Merson|United Kingdom|May 16, 2018|2017|TV-PG|87 min|Sports Movies
s21|​​Kuch Bheege Alfaaz|After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.|hi|1.616|7.5|Movie|Onir|Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan|India|September 1, 2018|2018|TV-14|110 min|Dramas, Independent Movies, International Movies
s22|​Goli Soda 2|A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.|ta|1.289|5.9|Movie|Vijay Milton|Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha|India|September 15, 2018|2018|TV-14|128 min|Action & Adventure, Dramas, International Movies
s23|​Maj Rati ​​Keteki|A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.|as|0.6|7.0|Movie|Santwana Bardoloi|Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar|India|September 15, 2018|2017|TV-14|117 min|Dramas, International Movies
s24|​Mayurakshi|When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.|bn|0.6|6.8|Movie|Atanu Ghosh|Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury|India|September 15, 2018|2017|TV-14|100 min|Dramas, International Movies
